157,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,221:17,"IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",0
158,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,221:17,"IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",(-1)
159,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,221:17,"IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",1
160,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,221:17,"IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",true
161,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,221:17,"IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",false
162,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,250:9,IRoycoDayAccountant(_immutables.accountant).commitLiquidityTrancheRawNAV(ltRawNAV),assert(true)
163,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,251:9,_state.ltRawNAV = ltRawNAV,assert(true)
164,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,251:27,ltRawNAV,0
165,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,251:27,ltRawNAV,(-1)
166,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,251:27,ltRawNAV,1
167,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,251:27,ltRawNAV,true
168,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,251:27,ltRawNAV,false
169,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,252:9,"_state.liquidityUtilizationWAD = UtilizationLogic._computeLiquidityUtilization(_state.stEffectiveNAV, _state.minLiquidityWAD, ltRawNAV)",assert(true)
170,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,252:42,"UtilizationLogic._computeLiquidityUtilization(_state.stEffectiveNAV, _state.minLiquidityWAD, ltRawNAV)",0
171,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,252:42,"UtilizationLogic._computeLiquidityUtilization(_state.stEffectiveNAV, _state.minLiquidityWAD, ltRawNAV)",(-1)
172,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,252:42,"UtilizationLogic._computeLiquidityUtilization(_state.stEffectiveNAV, _state.minLiquidityWAD, ltRawNAV)",1
